track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,826,125,B,Major,0.8554851880979846,1.600383251690005,1.1562689731678835,0.18324861475500023,-0.1886134947097773,-0.7450491438856457,-0.642445386958052
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,382,92,C#,Major,0.24382129904539446,0.41514788145531745,0.5962229302075067,-0.7631195320150091,-0.1886134947097773,-0.5978134593814245,-0.642445386958052
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949,138,F,Major,-1.1154317877381392,-0.8124173234306089,-0.7105511700333721,-0.3687994708608386,-0.1886134947097773,0.948161227912897,-0.44772831749222675
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,A,Major,-0.8435811703814324,0.28815837750160095,0.4717682539940897,-0.6053915075533409,-0.1886134947097773,-0.524195617129314,0.4284984951039867
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,A,Minor,-0.16395462698966562,-1.1933858352917583,0.9695869588477579,-0.4870954892070897,6.976580051512213,-0.524195617129314,-0.44772831749222675
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946,141,C#,Major,1.6710370401681047,0.6267970547115117,-0.39941447949982944,-0.2899354586300045,-0.1886134947097773,-0.7450491438856457,1.3047253077002001
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,F,Minor,-0.02802931831131227,1.3464042437825718,0.7206776064209238,0.8535927187170902,-0.1886134947097773,-0.7450491438856457,-0.7398039216909645
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194,100,F,Major,-0.02802931831131227,-1.0663963313380418,0.40954091588738123,0.41984065144750254,-0.1886134947097773,-0.524195617129314,-0.642445386958052
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953,130,C#,Minor,1.195298459793868,-1.2357156699429972,-0.1505051270729954,-0.5659595014379238,-0.1886134947097773,0.7273077011565654,-0.15565271329348893
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339,170,D,Minor,0.9234478424371613,0.20349870819912327,-1.0216878605669146,-0.21107144639917033,-0.1886134947097773,-0.7450491438856457,2.1809521202964133
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,41,205,54,12,251,83,F#,Minor,-0.707655861703079,0.20349870819912327,0.4717682539940897,-0.13220743416833622,-0.1886134947097773,0.6536898589044549,-0.5450868522251393
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,37,202,21,5,168,150,F,Minor,0.7195598794196312,0.03417936959416791,1.0940416350611748,-0.3293674647454215,-0.1886134947097773,-0.22972424812087178,-0.35036978275931413
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,182,24,"1,281",130,D,Minor,-0.23191728132884232,-0.34678914226698165,0.5339955921007983,-0.8419835442458432,1.744851430461236,-0.15610640586876123,-0.642445386958052
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,183,162,161,12,187,89,G#,Major,1.2632611141330448,0.6691268893627504,0.09840422535383865,-0.4870954892070897,-0.1886134947097773,-0.4505777748772034,0.5258570298368993
